video_id,publishedAt,channelId,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,type
td9w1kV-PGE,2017-01-19T06:59:37.000Z,UCE76CBkDX591pxzps6bySOw,Игровая комната|Развлечения для детей|бассейн с шариками|домик принцессы|как мама|капуки кануки|маша|развлечения дома|видео для детей|fun for kids|Playground at home|Беби Борн|беби бон|сюрпризы|много игрушек|смешное видео|мультики|мультфильмы|новые мультики|про беби борн|беби борн видео|Супер|Полина|Super|Polina|детская игровая комната,83591320,0,0,0,https://i.ytimg.com/vi/td9w1kV-PGE/default.jpg,TRUE,TRUE,"https://www.youtube.com/channel/UCGXUFnA7-MzlMwJjl0r2qyA?sub_confirmation=1В этом видео мы покажем, как устроить детскую игровую площадку прямо в квартире. Мы установили очень скользкую веселую горку, по которой ребенок может спуститься прямо в большой бассейн с шариками,много игрушек  и домик Мега Блокс, для детских игр - вот,что нужно для веселых детских развлечений. У нас получилась настоящая детская игровая комната, прямо в квартире Fun For Kids Playground at home Подписывайтесь, оценивайте и оставляйте комментарии!Подписаться на канал: http://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw?sub_confirmation=1Канал Супер Полина: https://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw",most_viewed
vPnKadx9pvY,2018-08-25T11:42:09.000Z,UCAorW3nBxPAIo6p5AiOGM-A,សម្បទានបេះដូង Ep58 (2/5) | រឿងភាគថៃនិយាយខ្មែរ 2018 💘|សម្បទានបេះដូង|Sambatean Besdoung|សម្បទានបេះដូង ភាគទី ៥៧|សម្បទានបេះដូង ភាគទី 58 (2/5)|Sambatean Besdoung Ep 58|Ep58 សម្បទានបេះដូង|សម្បទានបេះដូង 58EP(2/5)|រឿងភាគថៃចេញថ្មីនិយាយខ្មែរ|រឿងភាគថៃនិយាយខ្មែរ 2018|រឿងភាគថៃ2018|Full HD 720,2684799,3517,1059,120,https://i.ytimg.com/vi/vPnKadx9pvY/default.jpg,FALSE,FALSE,"#ChannelYP10Dramaអាចនឹងត្រូវYouTubeបិតនៅ31ហើយដូចនេះញំនឹងមិនUploadចូលChannel YouTube YP10 Dramaទៀតទេបងប្អូនអាចមើលភាគបន្តថ្មីនៅChannelរបស់ញំមួយទៀតដែលមានឈ្មោះថាYP10 Drama Fullចុចលីងនឹងទៅកាន់YoutubeChannel ថ្មីញំសូមអគុណhttps://www.youtube.com/channel/UCAorW3nBxPAIo6p5AiOGM-A?disable_polymer=trueសម្បទានបេះដូង Ep58 (2/5) | រឿងភាគថៃនិយាយខ្មែរ 2018 💘សម្បទានបេះដូង,Sambatean Besdoung,សម្បទានបេះដូង ភាគទី ៥៧,សម្បទានបេះដូង ភាគទី 58 (2/5),Sambatean Besdoung Ep 58,Ep58 សម្បទានបេះដូង,សម្បទានបេះដូង 58EP(2/5),រឿងភាគថៃចេញថ្មីនិយាយខ្មែរ,រឿងភាគថៃនិយាយខ្មែរ 2018,រឿងភាគថៃ2018,Full HD 720",most_viewed
ZY0xLlnaTcg,2017-11-30T12:56:58.000Z,UCE76CBkDX591pxzps6bySOw,куклы|как мама|Говорящая кукла BAMBOLINA|bambolina flora|видео для девочек|детское видео|говорящая кукла|куклы пупсики|видео про кукол|куклы видео|куклы для девочек|игрушки|супер Полина|доброе видео|кормим куклу|kukla|super polina,468483079,1145382,634798,0,https://i.ytimg.com/vi/ZY0xLlnaTcg/default.jpg,TRUE,FALSE,"http://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw?sub_confirmation=1Полина, как настоящая мама,  заботится о своей новой кукле  BAMBOLINA Флора. Кормит куколку кашей, садит на горшок и укладывает спатки. Куколка умеет говорить 23 фразы на украинском языке: Я хочу спатки, Розкажи мені казку и многие другие! А еще она знает считалочку и поет песенку! Приобрести говорящую Куколку Бамболина Флора Можно тут:http://www.kiddisvit.ua/brands/bambolina/govoryaschaya-kukla-bambolina-flora-ozvuch-ukr-yaz-40-sm-s-aksessuarami-bd310uaПодписывайтесь, оценивайте и оставляйте комментарии!Подписаться на канал: http://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw?sub_confirmation=1Канал Супер Полина: https://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw",most_viewed
tHfEyRVqm1g,2015-10-29T11:31:48.000Z,UCGqLGlMH-63TzNElt614mig,Побриться Налысо|деньги решают всё|Деньгирешаютвсеперезагрузка|Деньги решают все|Dogonyaev|Александр Догоняев|Догоняев,9684027,91973,34644,21140,https://i.ytimg.com/vi/tHfEyRVqm1g/default.jpg,FALSE,FALSE,Мой проект - https://drv-gang.ruINSTAGRAM: https://instagram.com/dogonyaev/---------,most_viewed
XilKIw-QGjw,2016-12-23T03:02:40.000Z,UCSJsjCiTl2lourZXnigVCoA,thơ nguyễn|christmas candy|đồ chơi|bánh kẹo|trẻ em|giáng sinh|noel|ông già noel|chị thơ nguyễn|uscandy|kẹo mỹ|snow|sweet candy,12665871,58989,6400,16542,https://i.ytimg.com/vi/XilKIw-QGjw/default.jpg,FALSE,FALSE,"Xin chào tất cả các em !Hôm nay chị sẽ thực hiện video ăn thử các loại kẹo giáng sinh mà chị đã mua ở cửa hàng kẹo mỹ hôm trước. Và sẽ đưa ra cảm nhận của chị về các loại kẹo đó. Trong lần trước thì chị đã rất ấn tượng với các loại kẹo về ngày Halloween, không biết lần này, sẽ có điều bất ngờ gì xảy ra không nhỉ? Các em hãy cùng theo dõi video để biết câu trả lời nhé.Trong video chị có sử dụng ứng dụng Snow để tạo ra những khung hình ngộ nghĩnh giúp cho có thêm không khí giáng sinh. Các em cũng hãy thử giống chị nhé. Đừng quên kết bạn với chị trên Snow với usename: hongthonguyen92 để khám phá nhiều hơn những bức ảnh ngộ nghĩnh của chị.",most_viewed
JEajeLNp7tc,2018-03-11T02:00:01.000Z,UCQs-tWGqacJ7vuuJDtXq28w,こうくんねみちゃん|キッズライン|こうくん|ねみ|キッズ|おもちゃ|子供|おゆうぎ|アイス屋さんごっこ|アイス おもちゃ|アイス ディッシャー|アイス スプーン|お店屋さんごっこ|お買い物ごっこ|アイス トッピング|アイスクリーム|アイス セット|人魚|人魚 ねみ|人魚姫|風呂 人魚|バービー人形|バービー 人魚|mermaid|ice cream,14687839,23939,10548,0,https://i.ytimg.com/vi/JEajeLNp7tc/default.jpg,TRUE,FALSE,アイス屋さんセットのおもちゃでアイス屋さんごっこ！！今回は種類もトッピングもたくさん！！どの味を組み合わせようかな～？？？*～*人気のオススメ動画*～*https://goo.gl/3CP1zu【お誕生日会!!! こうくん７さい プレゼントは・・・ 】https://youtu.be/E0RV-3O_VOQ?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6jチャンネル登録♥Subscribe♥subscrever♥الاشتراك♥채널등록Kids Lineキッズライン http://goo.gl/6BqZ2vこうくんねみちゃんhttps://goo.gl/qxggwVトイキッズ https://goo.gl/v5FPt9Instagram https://www.instagram.com/kidslinetv/Twitter https://twitter.com/kidslineTVHP http://kidsline.tv/*～*人気のオススメ動画Popular Recommended videos*～*https://goo.gl/3CP1zu♠お遊戯 コメディー ドラマ なりきりシリーズ こうくんねみちゃん https://goo.gl/6rSrWm★アンパンマンおもちゃAnpanman Toy Videoshttps://goo.gl/udvckO♥お店屋さんごっこ メルちゃん ぽぽちゃん おもちゃ Baby Doll Mellchan Popochan Videoshttp://goo.gl/JQSXgW★Play outside ♡ Kou-kun & Nemi Chan★おでかけ ♡ 外遊び おもちゃ －こうくんねみちゃん－ https://goo.gl/hdJ9vC★ディズニー おもちゃ Disney Toys こうくんねみちゃん－Kou-kun & Nemi Chan－https://goo.gl/7y8z5R★おもちゃアニメ toy animation アニメきっず トイキッズhttps://goo.gl/C6HvJm,most_viewed
rNuIOpfA2HA,2017-04-02T15:00:09.000Z,UCpko_-a4wgz2u_DgDgd9fqA,worth it|donuts|delicious|food|tasty|gold|deal|steven lim|buzzfeed|buzzfeedvideo,19763772,286115,10388,26861,https://i.ytimg.com/vi/rNuIOpfA2HA/default.jpg,FALSE,FALSE,"Saudi princes have come to indulge in the golden opulence sundae.Check out more awesome videos at BuzzFeedVideo!http://bit.ly/YTbuzzfeedvideoGET MORE BUZZFEED:https://www.buzzfeed.comhttps://www.buzzfeed.com/videoshttps://www.youtube.com/buzzfeedvideohttps://www.youtube.com/buzzfeedyellowhttps://www.youtube.com/buzzfeedbluehttps://www.youtube.com/buzzfeedviolethttps://www.youtube.com/perolikeBuzzFeedVideoBuzzFeed Motion Picture’s flagship channel. Sometimes funny, sometimes serious, always shareable. New videos posted daily!MUSICLicensed via Audio NetworkMonkey Funk_MainLicensed via Warner Chappell Production Music Inc.Genesis_MainLicensed via Warner Chappell Production Music Inc.DaffodilsLicensed via Warner Chappell Production Music Inc.Monkey Funk_30EditLicensed via Warner Chappell Production Music Inc.SFX Provided By AudioBlocks(https://www.audioblocks.com)Created by https://www.buzzfeed.com/bfmp/videos/13502+Joe Calderonehttp://www.serendipity3.com/+Jonathan Kimhttps://www.instagram.com/scoopsbic/?hl=en+Tai Kimhttps://www.instagram.com/scoopsbic/?hl=en+Isabel Huertahttp://fostersfreeze.com/",most_viewed
1tCjpWsfNk4,2017-12-23T19:00:01.000Z,UCdtqAuO5rMm7Asr-wroJYWQ,Proglašena je za najljepšu djevojčicu na svijetu ! Pogledajte kako ova lutkica izgleda danas !|Najljepša djevojčica na svijetu je odrasla: Niko ne bi rekao da sada izgleda ovako!|Anastasija Knjazeva najlepša devojčica na svetu|Top 5 najljepsi djevojcica na svijetu|Tek joj je pet godina i već osvaja: Ovo je najljepša djevojčica na svijetu|7 NEVJEROJATNIH MAMA Za Koje Nećete Vjerovati Da Postoje|TOP 10: Države Sa Najljepšim Ženama|5 Tinejdžera Za Koje Nećete Verovati Da Postoje,384211,5262,1041,0,https://i.ytimg.com/vi/1tCjpWsfNk4/default.jpg,TRUE,FALSE,Dobrodošli na novi klipZapratite nas na Instagramu :https://www.instagram.com/nassvijettv/Hvala na podršciMuzika iz klipa : Cjbeards - Northern Lights                  Srdacan pozdrav za sve,most_viewed
waXlDjsRMoU,2017-11-02T17:00:04.000Z,UCdtqAuO5rMm7Asr-wroJYWQ,Vidio je da njegov konj radi nešto neobično pa je uključio kameru. Kad se približio? Divno!|Pas je upravo saznao da će biti usvojen! Ono što je zatim uradio|rasplakalo je ljude|Beba je htjela poljubiti psa|ali ono što je uslijedilo je više|Beba je dopuzala do haskija da mu kaže “zdravo” – onda|JEZIVI SNIMAK ! Kamera je snimila DUH koji napušta|Vlasnik govori psu da je dosta jeo ! Njegova reakcija,404006,1174,225,36,https://i.ytimg.com/vi/waXlDjsRMoU/default.jpg,FALSE,FALSE,"Preplatite se na kanal DAMAGE : https://www.youtube.com/channel/UC4Fs00KDmDhaYCG2PGCjvIA/featuredZapratite nas na Instagramu :https://www.instagram.com/nassvijettv/Hvala na podršciMuzika iz klipa : Ikson - New Day                  Srdacan pozdrav za sveTags : Sin je od oca tražio novac. Kada je saznao zašto mu treba, nije mogao zadržati suze !Ugasila je svjetlo u sobi i legla spavati. Ono što je snimila kamera DIŽE KOSU NA GLAVI !Prijavili se na “najteži posao na svijetu” i rasplakali se kad su čuli o čemu je riječ !Zaspala je u automobilu na suvozačevom mjestu, a kada se probudila ništa nije bilo isto !Beba je plakala bez prestanka. Onda su roditelji otkrili ovo na... Pitbull je pobjegao bez brnjice od vlasnice, a onda je samo čula dječakove povike !Djeca su bacila porodičnog psa u vatru – ali ovaj detalj na koži mu je spasio život !Sjekao je drva u šumi kada je čuo neobične zvukove. Kad je prišao bliže, ostao je u nevjerici !Psi su bačeni u katran, a onda su spašeni od strane...Slonovi se redovno postroje kako bi zagrlili ovu ženu, a razlog će vas ostaviti bez teksta !Pas je čekao svog vlasnika ispred bolnice, ali kad je shvatio da se više neće vratiti...Djevojčica je morala da se oprosti sa svojim psom. Način na koji je to uradila je rasplakao svijet !Čula je čudne zvuke koji su dolazili ispod njene verande, a ono što je vidjela dolje je...Dečko je nazvao debelom, a ona ga ostavila i nakon što je smršala pokazala šta je propustio !Izašao je na terasu kako bi snimio nevrijeme, a samo nekoliko sekundi kasnije je doživio...Majka je stavila kćerku na spavanje, ostala je u šoku kada su joj komšije...Majka je bila šokirana kada je čula svoju kćerku da vrišti od boli.Onda je saznala razlog…Čula je plač iz ove kutije…šokirala se kada je vidjela šta se nalazi unutra !Učenik je zaspao na času, no reakcija nastavnika šokirala je milione ljudi !Snimak koji LEDI KRV u venama! Djevojčica je istrčala na ulicu, a ono što je nadzorna kamera snimila...Prvo je čula neobičan zvuk, a kad je pogledala prema nebu, odmah je zgrabila svoju kameru !Tinejdžer je otišao na spavanje, ali se usred noći probudio vrišteći od bolova!Lopov je provalio u dvorište. Kada se pojavila ova ,,zvijer,” jedva je izvukao živu glavu !Otkrio je ovo OGROMNO stvorenje u svojoj kupaonici, a ono što je uslijedilo mu je dalo ŠOK života !Ako vidite dijete kako sjedi na ulici u sred noći, ne izlazite iz auta !Gledala je omiljeni crtani i rasplakala se! Kad vidite zašto se rastužila, krenuće i vama suze ! Primijetili su crnu kesu da pluta vodom. Zanijemili su od ŠOKA kada su je otvorili ! Došao je kući nakon treninga u teretani. Ono što se desilo sa njegovim tijelom će vas...Kinez u zoološkom vrtu ošamario kengura! Nećete vjerovati šta se dalje dogodilo…Uživali su u vožnji brodom, a onda ih je iznenadilo čudovište iz dubina...Mislila je da se njena djeca igraju napolju – Kada ih je zatekla, ostala je bez riječi !Vlasnik govori psu da je dosta jeo ! Njegova reakcija će vas dovesti do SUZA !Roditelji su zaključali vrata i izašli. Kad su vidjeli na snimku šta djeca rade, ZANIJEMELI SU !JEZIVI SNIMAK ! Kamera je snimila DUH koji napušta MRTVO tijelo žene...NIKO JE NE ŽELI: Ona ima anđeosko lice, ali kada pokaže tijelo svi bježe…VRATIO JOJ NOVČANIK,I U NJEMU OSTAVIO PISMO: Kad ga je pročitala, ostala je bez teksta !TRIK PROTIV LOPOVA PROVALNIKA ! OBAVEZNO POGLEDATI ! Beba je htjela poljubiti psa, ali ono što je uslijedilo je više nego je očekivala ! Pas je upravo saznao da će biti usvojen! Ono što je zatim uradio, rasplakalo je ljude širom svijeta...Beba je dopuzala do haskija da mu kaže “zdravo” – onda je tata snimio predivnu reakciju psa !Vidio je da njegov konj radi nešto neobično pa je uključio kameru. Kad se približio? Divno!Njen suprug je nestao samo 6 nedjelja nakon vjenčanja. Nakon 68 godina, ona saznaje istinu !",most_viewed
QfdfbABkakE,2015-10-30T05:00:00.000Z,UCQs-tWGqacJ7vuuJDtXq28w,こうくんねみちゃん|キッズライン|kidsline|幼児チャンネル|こうくん|ねみ|キッズスタ|キッズ|子供|おもちゃ|アンパンマン|anpanman|kids|toy|映画|テレビ|アンパンマン ジャングル|アンパンマン おもちゃ|アンパンマン すべりだい|アンパンマン ブランコ|Anpanma Toy|Slide Swing Toy|đồ chơi trẻ em,27159287,15277,7582,0,https://i.ytimg.com/vi/QfdfbABkakE/default.jpg,TRUE,FALSE,アンパンマン の 鉄棒も出来ちゃうジャングルジム、すべり台、ブランコが付いた室内用おもちゃで こうくんねみちゃん が楽しく遊んだよ♫開封レビュー動画♡*～*End cardモバイル用エンド紹介動画*～*左上【ハロウィン メイク クレヨンみたい！！USJ メイク体験したよ♫】https://youtu.be/3tR1kHjWVrM?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6j左下【アンパンマン ストレッチボール  アンパンマンこどもミュージアム 限定】https://youtu.be/4TfeHamR4kc?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6j右上【USJ ミニオン スペースキラー で奇跡のGet！？】https://youtu.be/PQ4L_UuAVXs?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6j右下【アンパンマン おしごといっぱいわいわいひろば】https://youtu.be/r8CeGjqaxdU?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6j【おもちゃ動画Kids Toys】https://www.youtube.com/playlist?list=PL37CDtnlv9b3Tie3Ra1YCblPgtVv8jV6jこのおもちゃが気に入ったら高評価(*＾ｖ＾*)bしてください♪チャンネル登録♥Subscribe♥subscrever♥الاشتراكhttp://www.youtube.com/user/runway19co?sub_confirmation=1チャンネル登録ありがとうございます♡ブログhttp://kidslinetv.blogspot.jpInstagram https://www.instagram.com/kidslinetv/Twitter https://twitter.com/kidslineTVHP http://kidsline.tv/・‥...━━━☆・‥...━━━☆・‥...━━━☆★アンパンマンおもちゃAnpanman Toyhttps://www.youtube.com/playlist?list=PL37CDtnlv9b1JrY_natRqBcbrsEBFD-42♥メルちゃん ぽぽちゃん おもちゃ Baby Doll Mellchan Popochanhttp://www.youtube.com/playlist?list=PL37CDtnlv9b1cnUELU4XnL1d2gs4ZyxQ_★おでかけ ♡ 外遊び おもちゃ －こうくんねみちゃん－ http://youtu.be/priRNL3zego?list=PL37CDtnlv9b27aJvEWYHfhnfp3VKVjq3-★ディズニー おもちゃ Disney Toys こうくんねみちゃんhttps://www.youtube.com/playlist?list=PL37CDtnlv9b0n9IAs8Z4izEuSrVUbBdna★お料理 おもちゃ レビュー クッキングトイ 知育菓子 popin cookin Cooking Toyshttps://www.youtube.com/playlist?list=PL37CDtnlv9b2WEoIBpZlyYRW7936--nGJ★おもちゃアニメ toy animation アニメきっず トイキッズhttps://www.youtube.com/playlist?list=PL37CDtnlv9b1bRHaVGGy5-B3XXw3vKMxO★アルバム用クラフトパンチのデコパーツCraft Punchhttp://youtu.be/-gp-e-DWwlg?list=PL37CDtnlv9b04vdhB3MP_26mamDKXjaXh,most_viewed
